# Iterations, validation_loss
0.000000000000000000e+00,2.854486405849456787e-01
8.333333333333333940e+03,2.917488515377044678e-01
1.666666666666666788e+04,5.000000000000000000e-01
2.500000000000000000e+04,5.000000000000000000e-01
3.333333333333333576e+04,5.000000000000000000e-01
4.166666666666667152e+04,5.000000000000000000e-01
5.000000000000000000e+04,5.000000000000000000e-01
5.833333333333333576e+04,5.000000000000000000e-01
6.666666666666667152e+04,5.000000000000000000e-01
7.500000000000000000e+04,5.000000000000000000e-01
8.333333333333334303e+04,5.000000000000000000e-01
9.166666666666667152e+04,5.000000000000000000e-01
1.000000000000000000e+05,5.000000000000000000e-01
1.083333333333333430e+05,5.000000000000000000e-01
1.166666666666666715e+05,5.000000000000000000e-01
1.250000000000000146e+05,5.000000000000000000e-01
1.333333333333333430e+05,5.000000000000000000e-01
1.416666666666666861e+05,5.000000000000000000e-01
1.500000000000000000e+05,5.000000000000000000e-01
1.583333333333333430e+05,5.000000000000000000e-01
1.666666666666666861e+05,5.000000000000000000e-01
1.750000000000000000e+05,5.000000000000000000e-01
1.833333333333333430e+05,5.000000000000000000e-01
1.916666666666666861e+05,5.000000000000000000e-01
2.000000000000000000e+05,5.000000000000000000e-01
